t obsX obsY barStartX barStartY barEndX barEndY consortium
1990.5016 -4810.37199798752 -971.5271216645185 -4814.993497987521 -969.6196216645185 -4805.75049798752 -973.4346216645185 F
1990.5028 -4798.794799845647 -961.1443358507571 -4803.364799845646 -959.1173358507571 -4794.224799845647 -963.1713358507571 F
1990.825 -3092.0828932237305 -737.9014927514503 -3090.8373932237305 -733.0594927514503 -3093.3283932237305 -742.7434927514503 F
1990.8917 -2692.1918256369436 -610.4723960701343 -2687.3858256369435 -611.8513960701343 -2696.9978256369436 -609.0933960701343 F
1990.9537 -2277.522801815166 -472.4788851211976 -2274.691801815166 -468.3573851211976 -2280.353801815166 -476.60038512119763 F
1991.3134 644.1131497169856 263.3408491563218 639.1176497169856 263.12734915632177 649.1086497169856 263.5543491563218 F
1991.3705 1081.1714636724148 309.13735385150363 1079.5989636724148 304.39185385150364 1082.7439636724148 313.8828538515036 F
1991.3717 1088.1690223947603 310.53797328807525 1086.6095223947602 305.78797328807525 1089.7285223947604 315.28797328807525 F
1991.4484 1624.3454562413153 345.46750642768416 1619.7619562413154 347.46550642768415 1628.9289562413153 343.46950642768417 F
1991.7751 3406.963041848556 512.4769552907976 3408.606541848556 517.1989552907976 3405.3195418485557 507.7549552907976 F
1991.8175 3633.6281247102133 577.382051670133 3638.607124710213 577.839051670133 3628.6491247102135 576.925051670133 F
1991.9027 4139.247630025567 741.0098917893993 4141.115630025567 745.6473917893993 4137.379630025566 736.3723917893992 F
1991.9961 4795.738389311967 957.0055492608702 4800.323889311967 955.0120492608702 4791.152889311967 958.9990492608703 F
1992.0228 5000.726768152251 1022.3517647143907 5005.471768152251 1023.9277647143907 4995.981768152251 1020.7757647143907 F
1992.2657 7024.984634377905 1531.0817195427 7020.566634377906 1528.7412195427 7029.402634377905 1533.4222195427 F
1992.2669 7035.707627463422 1531.2561946401877 7031.355127463422 1528.7956946401878 7040.060127463422 1533.7166946401876 F
1992.2985 7290.966617863782 1572.080736208265 7289.769617863782 1567.2262362082652 7292.163617863782 1576.935236208265 F
1992.3931 8013.73502943882 1652.0116688984872 8008.96452943882 1653.5086688984873 8018.505529438819 1650.5146688984871 F
1992.4866 8633.931474051744 1683.4236963050878 8630.220474051745 1680.0726963050877 8637.642474051743 1686.774696305088 F
1992.8535 10609.771774256855 1965.3871814330514 10611.087274256855 1970.2106814330514 10608.456274256854 1960.5636814330514 F
1990.2488 -6649.518958285764 -1146.8055775553826 -6652.469458285764 -1150.8420775553825 -6646.568458285764 -1142.7690775553826 F
1990.2502 -6638.427165894293 -1144.314662003686 -6641.222165894293 -1148.460662003686 -6635.6321658942925 -1140.168662003686 F
1990.2513 -6629.33222622251 -1142.6587642448578 -6631.99572622251 -1146.890264244858 -6626.6687262225105 -1138.4272642448577 F
1990.2527 -6619.39261254137 -1139.6119725785231 -6621.92311254137 -1143.923972578523 -6616.86211254137 -1135.2999725785232 F
1990.2549 -6598.511968359276 -1137.8880746947627 -6600.7299683592755 -1142.3690746947627 -6596.293968359276 -1133.4070746947627 F
1990.2561 -6588.140459854222 -1136.3235786696546 -6590.2089598542225 -1140.8755786696545 -6586.071959854222 -1131.7715786696547 F
1990.2572 -6579.659259558356 -1134.4456092270166 -6581.581259558356 -1139.0616092270166 -6577.7372595583565 -1129.8296092270166 F
1990.2586 -6566.614644721352 -1132.981401778088 -6568.365144721352 -1137.664901778088 -6564.864144721352 -1128.2979017780879 F
1990.3655 -5722.374886861743 -1018.9813768874769 -5727.2563868617435 -1017.902376887477 -5717.493386861743 -1020.0603768874769 F
1990.4457 -5158.945110110757 -982.6404651646413 -5161.663610110757 -986.8369651646414 -5156.226610110757 -978.4439651646413 F
1990.5016 -4810.37199798752 -971.5271216645185 -4814.993497987521 -969.6196216645185 -4805.75049798752 -973.4346216645185 F
1990.5028 -4798.794799845647 -961.1443358507571 -4803.364799845646 -959.1173358507571 -4794.224799845647 -963.1713358507571 F
1990.825 -3092.0828932237305 -737.9014927514503 -3090.8373932237305 -733.0594927514503 -3093.3283932237305 -742.7434927514503 F
1990.8917 -2692.1918256369436 -610.4723960701343 -2687.3858256369435 -611.8513960701343 -2696.9978256369436 -609.0933960701343 F
1990.9537 -2277.522801815166 -472.4788851211976 -2274.691801815166 -468.3573851211976 -2280.353801815166 -476.60038512119763 F
1991.3134 644.1131497169856 263.3408491563218 639.1176497169856 263.12734915632177 649.1086497169856 263.5543491563218 F
1991.3705 1081.1714636724148 309.13735385150363 1079.5989636724148 304.39185385150364 1082.7439636724148 313.8828538515036 F
1991.3717 1088.1690223947603 310.53797328807525 1086.6095223947602 305.78797328807525 1089.7285223947604 315.28797328807525 F
1991.4484 1624.3454562413153 345.46750642768416 1619.7619562413154 347.46550642768415 1628.9289562413153 343.46950642768417 F
1991.7751 3406.963041848556 512.4769552907976 3408.606541848556 517.1989552907976 3405.3195418485557 507.7549552907976 F
1991.8175 3633.6281247102133 577.382051670133 3638.607124710213 577.839051670133 3628.6491247102135 576.925051670133 F
1991.9027 4139.247630025567 741.0098917893993 4141.115630025567 745.6473917893993 4137.379630025566 736.3723917893992 F
1991.9961 4795.738389311967 957.0055492608702 4800.323889311967 955.0120492608702 4791.152889311967 958.9990492608703 F
1992.0228 5000.726768152251 1022.3517647143907 5005.471768152251 1023.9277647143907 4995.981768152251 1020.7757647143907 F
1992.2657 7024.984634377905 1531.0817195427 7020.566634377906 1528.7412195427 7029.402634377905 1533.4222195427 F
1992.2669 7035.707627463422 1531.2561946401877 7031.355127463422 1528.7956946401878 7040.060127463422 1533.7166946401876 F
1992.2985 7290.966617863782 1572.080736208265 7289.769617863782 1567.2262362082652 7292.163617863782 1576.935236208265 F
1992.3931 8013.73502943882 1652.0116688984872 8008.96452943882 1653.5086688984873 8018.505529438819 1650.5146688984871 F
1992.4866 8633.931474051744 1683.4236963050878 8630.220474051745 1680.0726963050877 8637.642474051743 1686.774696305088 F
1992.8535 10609.771774256855 1965.3871814330514 10611.087274256855 1970.2106814330514 10608.456274256854 1960.5636814330514 F
1990.2488 -6649.518958285764 -1146.8055775553826 -6652.469458285764 -1150.8420775553825 -6646.568458285764 -1142.7690775553826 F
1990.2502 -6638.427165894293 -1144.314662003686 -6641.222165894293 -1148.460662003686 -6635.6321658942925 -1140.168662003686 F
1990.2513 -6629.33222622251 -1142.6587642448578 -6631.99572622251 -1146.890264244858 -6626.6687262225105 -1138.4272642448577 F
1990.2527 -6619.39261254137 -1139.6119725785231 -6621.92311254137 -1143.923972578523 -6616.86211254137 -1135.2999725785232 F
1990.2549 -6598.511968359276 -1137.8880746947627 -6600.7299683592755 -1142.3690746947627 -6596.293968359276 -1133.4070746947627 F
1990.2561 -6588.140459854222 -1136.3235786696546 -6590.2089598542225 -1140.8755786696545 -6586.071959854222 -1131.7715786696547 F
1990.2572 -6579.659259558356 -1134.4456092270166 -6581.581259558356 -1139.0616092270166 -6577.7372595583565 -1129.8296092270166 F
1990.2586 -6566.614644721352 -1132.981401778088 -6568.365144721352 -1137.664901778088 -6564.864144721352 -1128.2979017780879 F
1990.3655 -5722.374886861743 -1018.9813768874769 -5727.2563868617435 -1017.902376887477 -5717.493386861743 -1020.0603768874769 F
1990.4457 -5158.945110110757 -982.6404651646413 -5161.663610110757 -986.8369651646414 -5156.226610110757 -978.4439651646413 F
1990.5016 -4810.37199798752 -971.5271216645185 -4814.993497987521 -969.6196216645185 -4805.75049798752 -973.4346216645185 F
1990.5028 -4798.794799845647 -961.1443358507571 -4803.364799845646 -959.1173358507571 -4794.224799845647 -963.1713358507571 F
1990.825 -3092.0828932237305 -737.9014927514503 -3090.8373932237305 -733.0594927514503 -3093.3283932237305 -742.7434927514503 F
1990.8917 -2692.1918256369436 -610.4723960701343 -2687.3858256369435 -611.8513960701343 -2696.9978256369436 -609.0933960701343 F
1990.9537 -2277.522801815166 -472.4788851211976 -2274.691801815166 -468.3573851211976 -2280.353801815166 -476.60038512119763 F
1991.3134 644.1131497169856 263.3408491563218 639.1176497169856 263.12734915632177 649.1086497169856 263.5543491563218 F
1991.3705 1081.1714636724148 309.13735385150363 1079.5989636724148 304.39185385150364 1082.7439636724148 313.8828538515036 F
1991.3717 1088.1690223947603 310.53797328807525 1086.6095223947602 305.78797328807525 1089.7285223947604 315.28797328807525 F
1991.4484 1624.3454562413153 345.46750642768416 1619.7619562413154 347.46550642768415 1628.9289562413153 343.46950642768417 F
1991.7751 3406.963041848556 512.4769552907976 3408.606541848556 517.1989552907976 3405.3195418485557 507.7549552907976 F
1991.8175 3633.6281247102133 577.382051670133 3638.607124710213 577.839051670133 3628.6491247102135 576.925051670133 F
1991.9027 4139.247630025567 741.0098917893993 4141.115630025567 745.6473917893993 4137.379630025566 736.3723917893992 F
1991.9961 4795.738389311967 957.0055492608702 4800.323889311967 955.0120492608702 4791.152889311967 958.9990492608703 F
1992.0228 5000.726768152251 1022.3517647143907 5005.471768152251 1023.9277647143907 4995.981768152251 1020.7757647143907 F
1992.2657 7024.984634377905 1531.0817195427 7020.566634377906 1528.7412195427 7029.402634377905 1533.4222195427 F
1992.2669 7035.707627463422 1531.2561946401877 7031.355127463422 1528.7956946401878 7040.060127463422 1533.7166946401876 F
1992.2985 7290.966617863782 1572.080736208265 7289.769617863782 1567.2262362082652 7292.163617863782 1576.935236208265 F
1992.3931 8013.73502943882 1652.0116688984872 8008.96452943882 1653.5086688984873 8018.505529438819 1650.5146688984871 F
1992.4866 8633.931474051744 1683.4236963050878 8630.220474051745 1680.0726963050877 8637.642474051743 1686.774696305088 F
1992.8535 10609.771774256855 1965.3871814330514 10611.087274256855 1970.2106814330514 10608.456274256854 1960.5636814330514 F
1990.2488 -6649.518958285764 -1146.8055775553826 -6652.469458285764 -1150.8420775553825 -6646.568458285764 -1142.7690775553826 F
1990.2502 -6638.427165894293 -1144.314662003686 -6641.222165894293 -1148.460662003686 -6635.6321658942925 -1140.168662003686 F
1990.2513 -6629.33222622251 -1142.6587642448578 -6631.99572622251 -1146.890264244858 -6626.6687262225105 -1138.4272642448577 F
1990.2527 -6619.39261254137 -1139.6119725785231 -6621.92311254137 -1143.923972578523 -6616.86211254137 -1135.2999725785232 F
1990.2549 -6598.511968359276 -1137.8880746947627 -6600.7299683592755 -1142.3690746947627 -6596.293968359276 -1133.4070746947627 F
1990.2561 -6588.140459854222 -1136.3235786696546 -6590.2089598542225 -1140.8755786696545 -6586.071959854222 -1131.7715786696547 F
1990.2572 -6579.659259558356 -1134.4456092270166 -6581.581259558356 -1139.0616092270166 -6577.7372595583565 -1129.8296092270166 F
1990.2586 -6566.614644721352 -1132.981401778088 -6568.365144721352 -1137.664901778088 -6564.864144721352 -1128.2979017780879 F
1990.3655 -5722.374886861743 -1018.9813768874769 -5727.2563868617435 -1017.902376887477 -5717.493386861743 -1020.0603768874769 F
1990.4457 -5158.945110110757 -982.6404651646413 -5161.663610110757 -986.8369651646414 -5156.226610110757 -978.4439651646413 F
1990.5016 -4810.37199798752 -971.5271216645185 -4814.993497987521 -969.6196216645185 -4805.75049798752 -973.4346216645185 F
1990.5028 -4798.794799845647 -961.1443358507571 -4803.364799845646 -959.1173358507571 -4794.224799845647 -963.1713358507571 F
1990.825 -3092.0828932237305 -737.9014927514503 -3090.8373932237305 -733.0594927514503 -3093.3283932237305 -742.7434927514503 F
1990.8917 -2692.1918256369436 -610.4723960701343 -2687.3858256369435 -611.8513960701343 -2696.9978256369436 -609.0933960701343 F
1990.9537 -2277.522801815166 -472.4788851211976 -2274.691801815166 -468.3573851211976 -2280.353801815166 -476.60038512119763 F
1991.3134 644.1131497169856 263.3408491563218 639.1176497169856 263.12734915632177 649.1086497169856 263.5543491563218 F
1991.3705 1081.1714636724148 309.13735385150363 1079.5989636724148 304.39185385150364 1082.7439636724148 313.8828538515036 F
1991.3717 1088.1690223947603 310.53797328807525 1086.6095223947602 305.78797328807525 1089.7285223947604 315.28797328807525 F
1991.4484 1624.3454562413153 345.46750642768416 1619.7619562413154 347.46550642768415 1628.9289562413153 343.46950642768417 F
1991.7751 3406.963041848556 512.4769552907976 3408.606541848556 517.1989552907976 3405.3195418485557 507.7549552907976 F
1991.8175 3633.6281247102133 577.382051670133 3638.607124710213 577.839051670133 3628.6491247102135 576.925051670133 F
1991.9027 4139.247630025567 741.0098917893993 4141.115630025567 745.6473917893993 4137.379630025566 736.3723917893992 F
1991.9961 4795.738389311967 957.0055492608702 4800.323889311967 955.0120492608702 4791.152889311967 958.9990492608703 F
1992.0228 5000.726768152251 1022.3517647143907 5005.471768152251 1023.9277647143907 4995.981768152251 1020.7757647143907 F
1992.2657 7024.984634377905 1531.0817195427 7020.566634377906 1528.7412195427 7029.402634377905 1533.4222195427 F
1992.2669 7035.707627463422 1531.2561946401877 7031.355127463422 1528.7956946401878 7040.060127463422 1533.7166946401876 F
1992.2985 7290.966617863782 1572.080736208265 7289.769617863782 1567.2262362082652 7292.163617863782 1576.935236208265 F
1992.3931 8013.73502943882 1652.0116688984872 8008.96452943882 1653.5086688984873 8018.505529438819 1650.5146688984871 F
1992.4866 8633.931474051744 1683.4236963050878 8630.220474051745 1680.0726963050877 8637.642474051743 1686.774696305088 F
1992.8535 10609.771774256855 1965.3871814330514 10611.087274256855 1970.2106814330514 10608.456274256854 1960.5636814330514 F
1990.2488 -6649.518958285764 -1146.8055775553826 -6652.469458285764 -1150.8420775553825 -6646.568458285764 -1142.7690775553826 F
1990.2502 -6638.427165894293 -1144.314662003686 -6641.222165894293 -1148.460662003686 -6635.6321658942925 -1140.168662003686 F
1990.2513 -6629.33222622251 -1142.6587642448578 -6631.99572622251 -1146.890264244858 -6626.6687262225105 -1138.4272642448577 F
1990.2527 -6619.39261254137 -1139.6119725785231 -6621.92311254137 -1143.923972578523 -6616.86211254137 -1135.2999725785232 F
1990.2549 -6598.511968359276 -1137.8880746947627 -6600.7299683592755 -1142.3690746947627 -6596.293968359276 -1133.4070746947627 F
1990.2561 -6588.140459854222 -1136.3235786696546 -6590.2089598542225 -1140.8755786696545 -6586.071959854222 -1131.7715786696547 F
1990.2572 -6579.659259558356 -1134.4456092270166 -6581.581259558356 -1139.0616092270166 -6577.7372595583565 -1129.8296092270166 F
1990.2586 -6566.614644721352 -1132.981401778088 -6568.365144721352 -1137.664901778088 -6564.864144721352 -1128.2979017780879 F
1990.3655 -5722.374886861743 -1018.9813768874769 -5727.2563868617435 -1017.902376887477 -5717.493386861743 -1020.0603768874769 F
1990.4457 -5158.945110110757 -982.6404651646413 -5161.663610110757 -986.8369651646414 -5156.226610110757 -978.4439651646413 F
1990.5016 -4810.37199798752 -971.5271216645185 -4814.993497987521 -969.6196216645185 -4805.75049798752 -973.4346216645185 F
1990.5028 -4798.794799845647 -961.1443358507571 -4803.364799845646 -959.1173358507571 -4794.224799845647 -963.1713358507571 F
1990.825 -3092.0828932237305 -737.9014927514503 -3090.8373932237305 -733.0594927514503 -3093.3283932237305 -742.7434927514503 F
1990.8917 -2692.1918256369436 -610.4723960701343 -2687.3858256369435 -611.8513960701343 -2696.9978256369436 -609.0933960701343 F
1990.9537 -2277.522801815166 -472.4788851211976 -2274.691801815166 -468.3573851211976 -2280.353801815166 -476.60038512119763 F
1991.3134 644.1131497169856 263.3408491563218 639.1176497169856 263.12734915632177 649.1086497169856 263.5543491563218 F
1991.3705 1081.1714636724148 309.13735385150363 1079.5989636724148 304.39185385150364 1082.7439636724148 313.8828538515036 F
1991.3717 1088.1690223947603 310.53797328807525 1086.6095223947602 305.78797328807525 1089.7285223947604 315.28797328807525 F
1991.4484 1624.3454562413153 345.46750642768416 1619.7619562413154 347.46550642768415 1628.9289562413153 343.46950642768417 F
1991.7751 3406.963041848556 512.4769552907976 3408.606541848556 517.1989552907976 3405.3195418485557 507.7549552907976 F
1991.8175 3633.6281247102133 577.382051670133 3638.607124710213 577.839051670133 3628.6491247102135 576.925051670133 F
1991.9027 4139.247630025567 741.0098917893993 4141.115630025567 745.6473917893993 4137.379630025566 736.3723917893992 F
1991.9961 4795.738389311967 957.0055492608702 4800.323889311967 955.0120492608702 4791.152889311967 958.9990492608703 F
1992.0228 5000.726768152251 1022.3517647143907 5005.471768152251 1023.9277647143907 4995.981768152251 1020.7757647143907 F
1992.2657 7024.984634377905 1531.0817195427 7020.566634377906 1528.7412195427 7029.402634377905 1533.4222195427 F
1992.2669 7035.707627463422 1531.2561946401877 7031.355127463422 1528.7956946401878 7040.060127463422 1533.7166946401876 F
1992.2985 7290.966617863782 1572.080736208265 7289.769617863782 1567.2262362082652 7292.163617863782 1576.935236208265 F
1992.3931 8013.73502943882 1652.0116688984872 8008.96452943882 1653.5086688984873 8018.505529438819 1650.5146688984871 F
1992.4866 8633.931474051744 1683.4236963050878 8630.220474051745 1680.0726963050877 8637.642474051743 1686.774696305088 F
1992.8535 10609.771774256855 1965.3871814330514 10611.087274256855 1970.2106814330514 10608.456274256854 1960.5636814330514 F
1990.2488 -6649.518958285764 -1146.8055775553826 -6652.469458285764 -1150.8420775553825 -6646.568458285764 -1142.7690775553826 F
1990.2502 -6638.427165894293 -1144.314662003686 -6641.222165894293 -1148.460662003686 -6635.6321658942925 -1140.168662003686 F
1990.2513 -6629.33222622251 -1142.6587642448578 -6631.99572622251 -1146.890264244858 -6626.6687262225105 -1138.4272642448577 F
1990.2527 -6619.39261254137 -1139.6119725785231 -6621.92311254137 -1143.923972578523 -6616.86211254137 -1135.2999725785232 F
1990.2549 -6598.511968359276 -1137.8880746947627 -6600.7299683592755 -1142.3690746947627 -6596.293968359276 -1133.4070746947627 F
1990.2561 -6588.140459854222 -1136.3235786696546 -6590.2089598542225 -1140.8755786696545 -6586.071959854222 -1131.7715786696547 F
1990.2572 -6579.659259558356 -1134.4456092270166 -6581.581259558356 -1139.0616092270166 -6577.7372595583565 -1129.8296092270166 F
1990.2586 -6566.614644721352 -1132.981401778088 -6568.365144721352 -1137.664901778088 -6564.864144721352 -1128.2979017780879 F
1990.3655 -5722.374886861743 -1018.9813768874769 -5727.2563868617435 -1017.902376887477 -5717.493386861743 -1020.0603768874769 F
1990.4457 -5158.945110110757 -982.6404651646413 -5161.663610110757 -986.8369651646414 -5156.226610110757 -978.4439651646413 F
1990.5016 -4810.37199798752 -971.5271216645185 -4814.993497987521 -969.6196216645185 -4805.75049798752 -973.4346216645185 F
1990.5028 -4798.794799845647 -961.1443358507571 -4803.364799845646 -959.1173358507571 -4794.224799845647 -963.1713358507571 F
1990.825 -3092.0828932237305 -737.9014927514503 -3090.8373932237305 -733.0594927514503 -3093.3283932237305 -742.7434927514503 F
1990.8917 -2692.1918256369436 -610.4723960701343 -2687.3858256369435 -611.8513960701343 -2696.9978256369436 -609.0933960701343 F
1990.9537 -2277.522801815166 -472.4788851211976 -2274.691801815166 -468.3573851211976 -2280.353801815166 -476.60038512119763 F
1991.3134 644.1131497169856 263.3408491563218 639.1176497169856 263.12734915632177 649.1086497169856 263.5543491563218 F
1991.3705 1081.1714636724148 309.13735385150363 1079.5989636724148 304.39185385150364 1082.7439636724148 313.8828538515036 F
1991.3717 1088.1690223947603 310.53797328807525 1086.6095223947602 305.78797328807525 1089.7285223947604 315.28797328807525 F
1991.4484 1624.3454562413153 345.46750642768416 1619.7619562413154 347.46550642768415 1628.9289562413153 343.46950642768417 F
1991.7751 3406.963041848556 512.4769552907976 3408.606541848556 517.1989552907976 3405.3195418485557 507.7549552907976 F
1991.8175 3633.6281247102133 577.382051670133 3638.607124710213 577.839051670133 3628.6491247102135 576.925051670133 F
1991.9027 4139.247630025567 741.0098917893993 4141.115630025567 745.6473917893993 4137.379630025566 736.3723917893992 F
1991.9961 4795.738389311967 957.0055492608702 4800.323889311967 955.0120492608702 4791.152889311967 958.9990492608703 F
1992.0228 5000.726768152251 1022.3517647143907 5005.471768152251 1023.9277647143907 4995.981768152251 1020.7757647143907 F
1992.2657 7024.984634377905 1531.0817195427 7020.566634377906 1528.7412195427 7029.402634377905 1533.4222195427 F
1992.2669 7035.707627463422 1531.2561946401877 7031.355127463422 1528.7956946401878 7040.060127463422 1533.7166946401876 F
1992.2985 7290.966617863782 1572.080736208265 7289.769617863782 1567.2262362082652 7292.163617863782 1576.935236208265 F
1992.3931 8013.73502943882 1652.0116688984872 8008.96452943882 1653.5086688984873 8018.505529438819 1650.5146688984871 F
1992.4866 8633.931474051744 1683.4236963050878 8630.220474051745 1680.0726963050877 8637.642474051743 1686.774696305088 F
1992.8535 10609.771774256855 1965.3871814330514 10611.087274256855 1970.2106814330514 10608.456274256854 1960.5636814330514 F
1990.2488 -6649.518958285764 -1146.8055775553826 -6652.469458285764 -1150.8420775553825 -6646.568458285764 -1142.7690775553826 F
1990.2502 -6638.427165894293 -1144.314662003686 -6641.222165894293 -1148.460662003686 -6635.6321658942925 -1140.168662003686 F
1990.2513 -6629.33222622251 -1142.6587642448578 -6631.99572622251 -1146.890264244858 -6626.6687262225105 -1138.4272642448577 F
1990.2527 -6619.39261254137 -1139.6119725785231 -6621.92311254137 -1143.923972578523 -6616.86211254137 -1135.2999725785232 F
1990.2549 -6598.511968359276 -1137.8880746947627 -6600.7299683592755 -1142.3690746947627 -6596.293968359276 -1133.4070746947627 F
1990.2561 -6588.140459854222 -1136.3235786696546 -6590.2089598542225 -1140.8755786696545 -6586.071959854222 -1131.7715786696547 F
1990.2572 -6579.659259558356 -1134.4456092270166 -6581.581259558356 -1139.0616092270166 -6577.7372595583565 -1129.8296092270166 F
1990.2586 -6566.614644721352 -1132.981401778088 -6568.365144721352 -1137.664901778088 -6564.864144721352 -1128.2979017780879 F
1990.3655 -5722.374886861743 -1018.9813768874769 -5727.2563868617435 -1017.902376887477 -5717.493386861743 -1020.0603768874769 F
1990.4457 -5158.945110110757 -982.6404651646413 -5161.663610110757 -986.8369651646414 -5156.226610110757 -978.4439651646413 F
1990.5016 -4810.37199798752 -971.5271216645185 -4814.993497987521 -969.6196216645185 -4805.75049798752 -973.4346216645185 F
1990.5028 -4798.794799845647 -961.1443358507571 -4803.364799845646 -959.1173358507571 -4794.224799845647 -963.1713358507571 F
1990.825 -3092.0828932237305 -737.9014927514503 -3090.8373932237305 -733.0594927514503 -3093.3283932237305 -742.7434927514503 F
1990.8917 -2692.1918256369436 -610.4723960701343 -2687.3858256369435 -611.8513960701343 -2696.9978256369436 -609.0933960701343 F
1990.9537 -2277.522801815166 -472.4788851211976 -2274.691801815166 -468.3573851211976 -2280.353801815166 -476.60038512119763 F
1991.3134 644.1131497169856 263.3408491563218 639.1176497169856 263.12734915632177 649.1086497169856 263.5543491563218 F
1991.3705 1081.1714636724148 309.13735385150363 1079.5989636724148 304.39185385150364 1082.7439636724148 313.8828538515036 F
1991.3717 1088.1690223947603 310.53797328807525 1086.6095223947602 305.78797328807525 1089.7285223947604 315.28797328807525 F
